Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID
2012,5504,4089,11536
2012,5505,4090,11537
2012,5505,4090,11538
2012,5505,4090,11539
2012,5505,4090,11540
2012,5505,4090,11541
2012,5506,4091,11542
2012,5506,4091,11543
2012,5507,4092,11544
2012,5508,4093,11545
2012,5509,4094,11546
2012,5509,4094,11547
2012,5509,4094,11548
2012,5509,4094,11549
2012,5509,4094,11550
2012,5509,4094,11551
2012,5509,4094,11552
2012,5509,4094,11553
2012,5509,4094,11554
2012,5509,4094,11555
2012,5509,4094,11556
2012,5509,4094,11557
2012,5509,4094,11558
2012,5510,4095,11559
2012,5510,4095,11560
2012,5510,4095,11561
2012,5510,4095,11562
2012,5510,4095,11563
2012,5510,4095,11564
2012,5510,4095,11565
2012,5510,4095,11566
2012,5510,4095,11567
2012,5510,4095,11568
2012,5510,4095,11569
2012,5510,4095,11570
2012,5510,4095,11571
2012,5511,4096,11572
2012,5512,4097,11573
2012,5513,4098,11574
2012,5513,4098,11575
2012,5513,4098,11576
2012,5513,4098,11577
2012,5513,4098,11578
2012,5513,4098,11579
2012,5513,4098,11580
2012,5513,4098,11581
2012,5513,4098,11582
2012,5513,4098,11583
2012,5513,4098,11584
2012,5513,4098,11585
2012,5514,4099,11586
2012,5514,4099,11587
2012,5514,4099,11588
2012,5514,4099,11589
2012,5514,4099,11590
2012,5514,4099,11591
2012,5514,4099,11592
2012,5514,4099,11593
2012,5514,4099,11594
2012,5514,4099,11595
2012,5514,4099,11596
2012,5514,4099,11597
2012,5514,4099,11598
2012,5514,4099,11599
2012,5514,4099,11600
2012,5514,4099,11601
2012,5515,4100,11602
2012,5516,4101,11603
2012,5517,4102,11604
2012,5518,4103,11605
2012,5519,4104,11606
2012,5520,4105,11607
2012,5521,4106,11608
2012,5521,4106,11609
2012,5521,4106,11610
2012,5521,4106,11611
2012,5521,4106,11612
2012,5521,4106,11613
2012,5521,4106,11614
2012,5522,4107,11615
2012,5522,4107,11616
2012,5523,4108,11617
2012,5523,4108,11618
2012,5523,4108,11619
2012,5523,4108,11620
2012,5523,4108,11621
2012,5523,4108,11622
2012,5523,4108,11623
2012,5523,4108,11624
2012,5523,4108,11625
2012,5523,4108,11626
2012,5523,4108,11627
2012,5523,4108,11628
2012,5523,4108,11629
2012,5523,4108,11630
2012,5523,4108,11631
2012,5523,4108,11632
2012,5523,4108,11633
2012,5523,4108,11634
2012,5523,4108,11635
2012,5523,4108,11636
2012,5523,4108,11637
2012,5523,4108,11638
2012,5523,4108,11639
2012,5523,4108,11640
2012,5523,4108,11641
2012,5523,4108,11642
2012,5523,4108,11643
2012,5523,4108,11644
2012,5523,4108,11645
2012,5524,4109,11646
2012,5524,4109,11647
2012,5524,4109,11648
2012,5524,4109,11649
2012,5524,4109,11650
2012,5524,4109,11651
2012,5524,4109,11652
2012,5524,4109,11653
2012,5524,4109,11654
2012,5524,4109,11655
2012,5524,4109,11656
2012,5524,4109,11657
2012,5525,4110,11658
2012,5526,4111,11659
2012,5526,4111,11660
2012,5526,4111,11661
2012,5527,4112,11662
2012,5528,4113,11663
2012,5529,4114,11664
2012,5529,4114,11665
2012,5529,4114,11666
2012,5530,4115,11667
2012,5531,4116,11668
2012,5532,4117,11669
2012,5532,4117,11670
2012,5532,4117,11671
2012,5532,4117,11672
2012,5533,4118,11673
2012,5534,4119,11674
2012,5535,4120,11675
2012,5536,4121,11676
